Electrode,Band,Approximate Entropy,Permutation Entropy,Sample Entropy,SVD Entropy
Fp1,cD1,1.925572632680944,2.543278648306059,1.7789404766462986,1.437646621611221
Fp1,cD2,2.1301342390892675,2.5718279910112893,2.0218195758660262,1.5497829685509616
Fp1,cD3,2.093328495322882,2.582100233146019,2.056885157665424,1.582534171319697
Fp1,cD4,2.006908469086489,2.584151136095583,2.105069730261234,1.583271335639636
Fp1,cD5,1.762552537624356,2.5791870045406937,1.9823610427405625,1.5538055347532689
Fp1,cA5,0.7807997158739428,2.5245620480669526,0.6684264350322916,1.2299377103303326
Fp2,cD1,1.6892377283851774,2.537283799399941,1.4878669647048168,1.4071143110642024
Fp2,cD2,1.97824101559186,2.5720419255081812,1.8216325777602473,1.561563024164942
Fp2,cD3,2.0627951977033048,2.5834265877853797,2.0122444751750286,1.5829875863474276
Fp2,cD4,2.0100832871805974,2.5833190394721113,2.1002391367414677,1.5834031251941698
Fp2,cD5,1.7952470728612182,2.5820157593330753,2.009688252373767,1.5572371338389386
Fp2,cA5,0.9737724841084585,2.538388997574493,0.881173399351104,1.2646969021028285
F3,cD1,1.8671301133890053,2.5370300098761134,1.6754302656138036,1.4263415381491538
F3,cD2,2.1520235685433233,2.576558121870804,2.0699525447727676,1.5663355939843155
F3,cD3,2.1381061465583207,2.5837850647139753,2.1410559008690955,1.5830300669268413
F3,cD4,2.037126404696272,2.5825345244312805,2.1431579115269166,1.5818841070288268
F3,cD5,1.8240795209461655,2.58399649397915,2.077208234714218,1.5723479756507
F3,cA5,1.4548881450284616,2.5164493805834627,1.5280447656626925,1.3631858484115957
C3,cD1,1.9511024084819129,2.5410525669167274,1.814215266172433,1.432956228925703
C3,cD2,2.187623768681293,2.5751092999866496,2.1105321483803485,1.5648925415131307
C3,cD3,2.1409201294975118,2.58182275873554,2.144020925009669,1.5734302343895195
C3,cD4,2.048469493118925,2.5817460786837243,2.16328963584276,1.5784800695234749
C3,cD5,1.8575690732808043,2.5839018080170435,2.1395530956471864,1.5783229592391737
C3,cA5,1.4710579527783492,2.562962284370122,1.6634032752299952,1.4148732050715243
PO3,cD1,1.9322110216161308,2.5368509297303463,1.8032408762774927,1.4275734191501448
PO3,cD2,2.1614152063615863,2.569754529648004,2.0873182832193904,1.5507156766621155
PO3,cD3,2.145696469645487,2.582275344249587,2.131951028552934,1.5808621845372584
PO3,cD4,1.9615790847746215,2.5767453729818355,2.050552500615933,1.5550806448157735
PO3,cD5,1.7498020940654442,2.580423180984119,1.9212769397000595,1.5582470246881317
PO3,cA5,1.4747035381930642,2.5601600634105917,1.627552419472877,1.407970501331107
P4,cD1,1.9671885205756876,2.543108134420035,1.8417399646398283,1.4389323375950747
P4,cD2,2.176950232575308,2.5711798116036992,2.1066006423810695,1.5566281867180627
P4,cD3,2.1469292503425006,2.579105093584002,2.177663834368224,1.5768831527531784
P4,cD4,2.037640745772265,2.581531636036635,2.151852060977994,1.5709606541206322
P4,cD5,1.8464258901132586,2.5828562370811072,2.086357633378209,1.5737954774231298
P4,cA5,1.4998161251766478,2.512401678091647,1.7123188674925707,1.413327465921045
